assay_date,well_content,tech_rep,well,plate,protein_conc mg/mL
7/4/24,Hom 1 1:4 R1,R1,A1,2,0.2905277354
7/4/24,Hom 1 1:4 R2,R2,B1,2,0.238539094
7/4/24,Hom 1 1:4 R3,R3,C1,2,0.2388732241
7/4/24,Hom 2 1:4 R1,R1,A2,2,0.3881565978
7/4/24,Hom 2 1:4 R2,R2,B2,2,0.3379438872
7/4/24,Hom 2 1:4 R3,R3,C2,2,0.3473041318
7/4/24,Hom 3 1:4 R1,R1,A3,2,0.3601729353
7/4/24,Hom 3 1:4 R2,R2,B3,2,0.3674978793
7/4/24,Hom 3 1:4 R3,R3,C3,2,0.3441811555
7/4/24,Hom 7 1:4 R1,R1,A4,2,0.6260495823
7/4/24,Hom 7 1:4 R2,R2,B4,2,0.484069637
7/4/24,Hom 7 1:4 R3,R3,C4,2,0.5157752455
7/4/24,Hom 8 1:4 R1,R1,A1,1,0.5069107214
7/4/24,Hom 8 1:4 R2,R2,A2,1,0.4781823706
7/4/24,Hom 8 1:4 R3,R3,B1,1,0.4646057447
7/4/24,Hom 9 1:4 R1,R1,A5,2,0.3814912432
7/4/24,Hom 9 1:4 R2,R2,B5,2,0.3227469289
7/4/24,Hom 9 1:4 R3,R3,C5,2,0.3306818998
7/4/24,Hom 13 1:4 R1,R1,C1,1,0.4574487334
7/4/24,Hom 13 1:4 R2,R2,B2,1,0.4165073213
7/4/24,Hom 13 1:4 R3,R3,C2,1,0.422879162
7/4/24,Hom 14 1:4 R1,R1,A6,2,0.2482480341
7/4/24,Hom 14 1:4 R2,R2,B6,2,0.2268749992
7/4/24,Hom 14 1:4 R3,R3,C6,2,0.2325329662
7/4/24,Hom 15 1:4 R1,R1,A7,2,0.3048807845
7/4/24,Hom 15 1:4 R2,R2,B7,2,0.2650782571
7/4/24,Hom 15 1:4 R3,R3,C7,2,0.2536214169
7/4/24,Hom 21 1:4 R1,R1,A3,1,0.2281610811
7/4/24,Hom 21 1:4 R2,R2,B3,1,0.2115007524
7/4/24,Hom 21 1:4 R3,R3,C3,1,0.2216338699
7/4/24,Hom 22 1:4 R1,R1,A8,2,0.5150524034
7/4/24,Hom 22 1:4 R2,R2,B8,2,0.4379758304
7/4/24,Hom 22 1:4 R3,R3,C8,2,0.5706403547
7/4/24,Hom 23 1:4 R1,R1,A4,1,0.4082690831
7/4/24,Hom 23 1:4 R2,R2,B4,1,0.3623767308
7/4/24,Hom 23 1:4 R3,R3,C4,1,0.3716807221
7/4/24,Hom 27 1:4 R1,R1,D5,1,0.3739155298
7/4/24,Hom 27 1:4 R2,R2,E5,1,0.3936866671
7/4/24,Hom 27 1:4 R3,R3,F5,1,0.4030311405
7/4/24,Hom 28 1:4 R1,R1,A9,2,0.417762514
7/4/24,Hom 28 1:4 R2,R2,B9,2,0.372039862
7/4/24,Hom 28 1:4 R3,R3,C9,2,0.3685455236
7/4/24,Hom 29 1:4 R1,R1,G2,1,0.5235827812
7/4/24,Hom 29 1:4 R2,R2,G3,1,0.5592938121
7/4/24,Hom 29 1:4 R3,R3,H3,1,0.6805812339
7/4/24,Hom 33 1:4 R1,R1,A5,1,0.3880856029
7/4/24,Hom 33 1:4 R2,R2,B5,1,0.3545711379
7/4/24,Hom 33 1:4 R3,R3,C5,1,0.3948073888
7/4/24,Hom 34 1:4 R1,R1,D1,2,0.4998967986
7/4/24,Hom 34 1:4 R2,R2,E1,2,0.501338194
7/4/24,Hom 34 1:4 R3,R3,F1,2,0.4894594175
7/4/24,Hom 35 1:4 R1,R1,A6,1,0.3441778632
7/4/24,Hom 35 1:4 R2,R2,B6,1,0.3304694442
7/4/24,Hom 35 1:4 R3,R3,C6,1,0.3471456949
7/4/24,Hom 37 1:4 R1,R1,G4,1,0.49669445
