assay,plate,well number,well letter,type,well_content,abs562,assay_date
bca,1,10,A,standard,A Stand. R1,0.1027,7/4/24
bca,1,10,B,standard,B Stand. R1,0.2456,7/4/24
bca,1,10,C,standard,C Stand. R1,0.4197,7/4/24
bca,1,10,D,standard,D Stand. R1,0.6429,7/4/24
bca,1,10,E,standard,E Stand. R1,1.1594,7/4/24
bca,1,10,F,standard,F Stand. R1,1.9137,7/4/24
bca,1,10,G,standard,G Stand. R1,2.1912,7/4/24
bca,1,10,H,standard,H Stand. R1,2.6873,7/4/24
bca,1,11,A,standard,A Stand. R2,0.1049,7/4/24
bca,1,11,B,standard,B Stand. R2,0.2588,7/4/24
bca,1,11,C,standard,C Stand. R2,0.4078,7/4/24
bca,1,11,D,standard,D Stand. R2,0.6378,7/4/24
bca,1,11,E,standard,E Stand. R2,1.32,7/4/24
bca,1,11,F,standard,F Stand. R2,1.7581,7/4/24
bca,1,11,G,standard,G Stand. R2,2.0933,7/4/24
bca,1,11,H,standard,H Stand. R2,2.6665,7/4/24
bca,1,12,A,standard,A Stand. R3,0.1066,7/4/24
bca,1,12,B,standard,B Stand. R3,0.257,7/4/24
bca,1,12,C,standard,C Stand. R3,0.426,7/4/24
bca,1,12,D,standard,,,7/4/24
bca,1,12,E,standard,E Stand. R3,1.2353,7/4/24
bca,1,12,F,standard,F Stand. R3,1.7807,7/4/24
bca,1,12,G,standard,G Stand. R3,2.183,7/4/24
bca,1,12,H,standard,H Stand. R3,2.5828,7/4/24
bca,1,1,A,unknown,Hom 8 1:4 R1,0.2184,7/4/24
bca,1,1,B,unknown,Hom 8 1:4 R3,0.2072,7/4/24
bca,1,1,C,unknown,Hom 13 1:4 R1,0.2053,7/4/24
bca,1,1,D,unknown,Hom 59 1:4 R1,0.2468,7/4/24
bca,1,1,E,unknown,Hom 59 1:4 R2,0.2657,7/4/24
bca,1,1,F,unknown,Hom 59 1:4 R3,0.2743,7/4/24
bca,1,1,G,unknown,Hom 55 1:4 R1,0.234,7/4/24
bca,1,1,H,unknown,Hom 55 1:4 R2,0.2512,7/4/24
bca,1,2,A,unknown,Hom 8 1:4 R2,0.2108,7/4/24
bca,1,2,B,unknown,Hom 13 1:4 R2,0.1944,7/4/24
bca,1,2,C,unknown,Hom 13 1:4 R3,0.1961,7/4/24
bca,1,2,D,unknown,Hom 60 1:4 R1,0.1648,7/4/24
bca,1,2,E,unknown,Hom 60 1:4 R2,0.1747,7/4/24
bca,1,2,F,unknown,Hom 60 1:4 R3,0.1732,7/4/24
bca,1,2,G,unknown,Hom 29 1:4 R1,0.2228,7/4/24
bca,1,2,H,unknown,Hom 55 1:4 R3,0.2506,7/4/24
bca,1,3,A,unknown,Hom 21 1:4 R1,0.1434,7/4/24
bca,1,3,B,unknown,Hom 21 1:4 R2,0.1388,7/4/24
bca,1,3,C,unknown,Hom 21 1:4 R3,0.1416,7/4/24
bca,1,3,D,unknown,Hom 61 1:4 R1,0.1975,7/4/24
bca,1,3,E,unknown,Hom 61 1:4 R2,0.2041,7/4/24
