assay,plate,type,homogenate,dilution_factor_unknownsample_pbs,well_content,tech_rep,assay_date,well,protein_conc_mg_mL_maybeError
bca,1,unknown,8,1:4,Hom 8 1:4 R1,R1,7/4/24,A1,0.5069107214
bca,1,unknown,8,1:4,Hom 8 1:4 R2,R2,7/4/24,A2,0.4781823706
bca,1,unknown,8,1:4,Hom 8 1:4 R3,R3,7/4/24,B1,0.4646057447
bca,1,unknown,13,1:4,Hom 13 1:4 R1,R1,7/4/24,C1,0.4574487334
bca,1,unknown,13,1:4,Hom 13 1:4 R2,R2,7/4/24,B2,0.4165073213
bca,1,unknown,13,1:4,Hom 13 1:4 R3,R3,7/4/24,C2,0.422879162
bca,1,unknown,21,1:4,Hom 21 1:4 R1,R1,7/4/24,A3,0.2281610811
bca,1,unknown,21,1:4,Hom 21 1:4 R2,R2,7/4/24,B3,0.2115007524
bca,1,unknown,21,1:4,Hom 21 1:4 R3,R3,7/4/24,C3,0.2216338699
bca,1,unknown,23,1:4,Hom 23 1:4 R1,R1,7/4/24,A4,0.4082690831
bca,1,unknown,23,1:4,Hom 23 1:4 R2,R2,7/4/24,B4,0.3623767308
bca,1,unknown,23,1:4,Hom 23 1:4 R3,R3,7/4/24,C4,0.3716807221
bca,1,unknown,27,1:4,Hom 27 1:4 R1,R1,7/4/24,D5,0.3739155298
bca,1,unknown,27,1:4,Hom 27 1:4 R2,R2,7/4/24,E5,0.3936866671
bca,1,unknown,27,1:4,Hom 27 1:4 R3,R3,7/4/24,F5,0.4030311405
bca,1,unknown,29,1:4,Hom 29 1:4 R1,R1,7/4/24,G2,0.5235827812
bca,1,unknown,29,1:4,Hom 29 1:4 R2,R2,7/4/24,G3,0.5592938121
bca,1,unknown,29,1:4,Hom 29 1:4 R3,R3,7/4/24,H3,0.6805812339
bca,1,unknown,33,1:4,Hom 33 1:4 R1,R1,7/4/24,A5,0.3880856029
bca,1,unknown,33,1:4,Hom 33 1:4 R2,R2,7/4/24,B5,0.3545711379
bca,1,unknown,33,1:4,Hom 33 1:4 R3,R3,7/4/24,C5,0.3948073888
bca,1,unknown,35,1:4,Hom 35 1:4 R1,R1,7/4/24,A6,0.3441778632
bca,1,unknown,35,1:4,Hom 35 1:4 R2,R2,7/4/24,B6,0.3304694442
bca,1,unknown,35,1:4,Hom 35 1:4 R3,R3,7/4/24,C6,0.3471456949
bca,1,unknown,37,1:4,Hom 37 1:4 R1,R1,7/4/24,G4,0.49669445
bca,1,unknown,37,1:4,Hom 37 1:4 R2,R2,7/4/24,H4,0.5307908407
bca,1,unknown,37,1:4,Hom 37 1:4 R3,R3,7/4/24,H5,0.5456025285
bca,1,unknown,39,1:4,Hom 39 1:4 R1,R1,7/4/24,G8,0.4195051958
bca,1,unknown,39,1:4,Hom 39 1:4 R2,R2,7/4/24,G9,0.4198800101
bca,1,unknown,39,1:4,Hom 39 1:4 R3,R3,7/4/24,H9,0.4796921573
bca,1,unknown,43,1:4,Hom 43 1:4 R1,R1,7/4/24,A7,0.51751691
