Gene,SYMBOL,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
g1,g1,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10,g10,0.735403498,-2.750286568,2.596772224,1.642086188,1.107367565,1.856281796,0.364179271,3.011503303,2.522209811,-1.101790387,1.219340839,0.453074123
g100,g100,5.329108575,3.344017115,3.837648582,2.576582709,5.347640906,4.276687443,4.008081244,5.456302081,4.288764982,3.758246679,5.302197643,4.286232959
g1000,g1000,1.936501467,1.938713978,3.036156566,2.058934058,2.29336805,2.269269172,2.185478127,1.52293731,2.231131189,1.353133169,2.852604035,3.046889611
g10000,g10000,-2.750286568,-2.750286568,-2.026808841,0.153836431,-2.750286568,-1.833762031,-0.778321102,-2.750286568,-1.546627362,-2.750286568,-0.465044092,-1.021333105
g10001,g10001,2.986678517,3.784222765,3.648082948,3.794122491,3.675082408,3.587113564,3.896458691,2.926882963,2.940932725,3.332801932,3.775404543,3.997135216
g10002,g10002,5.318024515,4.979027393,5.280867185,4.717526388,4.883131917,5.61992856,5.496057426,4.816839214,5.572648455,5.253751981,5.073540975,5.671747628
g10003,g10003,1.858373719,0.852632299,-0.214034961,0.770185755,1.426778246,0.103880328,0.330784098,0.207406676,-1.146657565,0.836428851,0.328508189,-1.241769491
g10004,REG1B,1.633350128,4.386854411,2.952370159,4.103837106,3.078989406,3.618448057,4.498952902,3.419392291,5.706909478,4.327045586,-2.750286568,2.580254479
g10005,g10005,5.307015314,5.494756442,5.292407585,5.145891285,5.221805334,5.196134695,5.861947243,5.729041368,5.151789776,4.55310079,6.135209501,5.53399982
g10006,g10006,4.40100283,2.893123359,3.817802292,3.783598803,3.564971721,4.949894375,4.034194062,3.792548143,4.143872758,0.277328776,4.549073096,3.859332123
g10007,g10007,1.573554966,-0.065335971,1.317141553,1.37681299,2.59668692,2.463711163,1.103984695,1.840503879,2.538700279,1.084192164,2.253662348,1.755203472
g10008,g10008,-2.750286568,-2.750286568,-1.495591986,-2.750286568,0.58172401,-2.227794521,-2.750286568,-0.673485171,0.426495283,-2.750286568,-1.386262301,-2.750286568
g10009,g10009,-2.750286568,-2.750286568,0.105570037,1.239744143,0.740875544,0.882250995,-0.070266979,-0.784750723,0.393161015,-2.750286568,-0.658200985,0.668792934
