Gene,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
g10,g10,0.279485967,0.720501679,0.272948368,0.789192718,0.961928348,-5.056121242
g100,g100,0.583678968,4.310465065,1.225223234,0.242287339,0.718885553,-5.249881938
g1000,g1000,0.07103313,2.192821549,0.215400644,0.832806936,0.970982548,-5.397253013
g10001,g10001,0.051176887,3.516647336,0.213151076,0.834524653,0.971556813,-5.769925476
g10002,g10002,0.365269711,5.221522616,1.819091013,0.092063509,0.557972765,-4.620653021
g10003,g10003,-0.89290444,0.176488465,-1.418854599,0.179535342,0.670037236,-4.456064736
g10004,REG1B,-0.483474564,2.95244215,-0.35869412,0.725598134,0.946879018,-5.596057601
g10005,g10005,0.344219044,5.383618291,1.895378409,0.080558677,0.544679758,-4.519229776
g10006,g10006,-0.382316778,3.654160481,-0.702171266,0.494987771,0.860714358,-5.531364832
g10007,g10007,0.336258991,1.595838293,0.786411562,0.445764959,0.839426223,-5.023860536
g10009,g10009,0.06046032,-1.083272377,0.044199086,0.965419297,0.995143406,-4.807357058
g10010,g10010,-1.638275522,0.116451123,-1.481831687,0.162281006,0.652508638,-4.417820277
g10011,g10011,0.479604519,1.009534326,0.250918741,0.805810234,0.964972001,-5.009728704
g10013,g10013,-3.185959365,0.950598146,-1.500897598,0.15734118,0.645638976,-4.404028113
g10014,g10014,2.343993556,-0.648104316,1.13999937,0.27491256,0.741376313,-4.591742762
g10015,g10015,-0.301707027,0.341464747,-0.335903513,0.742318224,0.951829793,-4.909233166
g10016,HABP2,0.383653945,1.958312831,0.833931193,0.419421609,0.82525292,-5.081289859
g10017,KCNK2,0.943692969,1.35436967,1.466762095,0.16627746,0.65680365,-4.471252793
g10018,KCNK2,-0.675949142,1.646860239,-0.673451875,0.512488608,0.86749859,-4.973783717
g10019,CPA1,0.501804134,3.554046284,0.887858687,0.390793104,0.812528599,-5.450103021
g10020,CPA1,-1.624463176,4.647606182,-2.779033959,0.015679747,0.352903037,-2.985591286
g10021,CPA1,0.977471038,3.822932638,0.950432802,0.359276883,0.798418803,-5.446868941
g10022,NLRP12,-0.892924107,1.371535662,-0.478815647,0.640045206,0.918686497,-5.00423612
g10023,SAMD3,-0.10095064,-1.013928346,-0.045224179,0.964617861,0.995143406,-4.790654865
g10024,g10024,-0.874496006,-0.007947893,-0.764675727,0.458159499,0.846378615,-4.774813591
g10025,g10025,-0.586573622,0.303027511,-0.757376026,0.462370175,0.846906169,-4.784944447
g10026,g10026,0.016190676,0.609248957,0.029205077,0.977145871,0.996356332,-5.006057172
g10027,g10027,0.010092201,6.171691438,0.034525096,0.97298439,0.995620907,-6.20082878
g10028,g10028,-0.432582031,0.204215717,-0.87535027,0.397312753,0.814566945,-4.765849935
g10029,PITX2,0.313106702,3.783328832,1.576557181,0.138978713,0.623084925,-4.745324861
g10030,g10030,2.12521217,0.762817159,3.231913454,0.006573772,0.266339497,-2.931302848
g10032,FUT8,0.360602781,2.978876025,0.876025951,0.396958708,0.814424807,-5.266256187
