"","Gene","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","g10908","g10908",1.597030984,2.729788525,4.945285422,0.000269908,0.081183124,0.102473935
"2","g11131","BVES",-1.020306538,3.754829033,-4.928200054,0.000278204,0.081183124,0.514381116
"3","g11648","COLEC11",-3.391679868,2.705717215,-7.410188516,5.20452e-06,0.036353603,1.273093998
"4","g11811","g11811",2.321885775,5.265203213,5.326174163,0.000138846,0.077279232,1.257883012
"5","g11813","g11813",1.741840349,6.327307559,4.905195588,0.000289796,0.081664977,0.622651435
"6","g1196","g1196",1.578080675,6.773390906,5.266477513,0.000153891,0.077279232,1.20906392
"7","g12050","g12050",0.993825408,8.84602392,5.087664407,0.000210043,0.077279232,0.917632197
"8","g12111","g12111",-2.452703119,3.933272131,-8.664451311,9.43084e-07,0.01317489,4.405184675
"9","g12775","g12775",1.868073581,5.142505674,5.079077735,0.000213227,0.077279232,0.885401032
"10","g1294","g1294",1.290090545,5.676379707,4.780669054,0.000361894,0.095389908,0.417137819
"11","g12982","g12982",1.203212461,6.360044964,5.191231422,0.00017532,0.077279232,1.08869085
"12","g13014","g13014",1.246556753,7.088614451,5.545360071,9.55705e-05,0.074173301,1.649074284
"13","g13132","MMP21",1.39432268,6.641912581,6.163967586,3.45306e-05,0.052657215,2.576946709
"14","g13530","HSPG2",0.868118585,7.50054326,5.987919989,4.58845e-05,0.052657215,2.318342567
"15","g13546","TGFB2",0.869245976,4.463536455,4.930213528,0.000277213,0.081183124,0.623358937
"16","g14195","g14195",1.846077259,10.05837347,5.185487472,0.000177079,0.077279232,1.063244489
"17","g14350","CDO1",-0.823797617,6.997877205,-6.425415285,2.28185e-05,0.052657215,2.954857841
"18","g14703","g14703",1.626041484,6.663598776,6.324155909,2.67599e-05,0.052657215,2.804535205
"19","g14894","JAG1",0.805301723,6.017880679,5.084844534,0.000211083,0.077279232,0.916358718
"20","g14965","g14965",-1.19890677,3.245714,-5.343820015,0.0001347,0.077279232,0.835233658
"21","g15281","KCP",0.963237055,8.093631131,5.94758452,4.90024e-05,0.052657215,2.251266923
"22","g15637","FIBCD1",2.462121153,5.322886251,5.144657369,0.000190127,0.077279232,0.97948113
"23","g15728","g15728",2.074364912,3.776552047,4.927488655,0.000278556,0.081183124,0.467890597
"24","g15986","g15986",0.554411854,5.994428052,5.272116891,0.000152399,0.077279232,1.217448862
"25","g16191","g16191",0.560061693,9.416965366,4.981520406,0.000253156,0.081183124,0.74427468
"26","g16471","g16471",-2.636435821,6.467950481,-5.20929135,0.000169907,0.077279232,1.108080197
"27","g16639","VWF",1.067466113,7.309904252,5.072395556,0.00021574,0.077279232,0.896594189
"28","g16842","C5",1.952113559,10.85934629,5.404324941,0.000121441,0.077279232,1.392832408
"29","g1703","g1703",0.836934928,6.905668602,5.662657329,7.84709e-05,0.064484646,1.831710959
"30","g1744","g1744",0.806046066,5.591478821,4.992744807,0.000248189,0.081183124,0.764820731
"31","g19","CLEC19A",-1.153416462,6.803869646,-5.992742203,4.5526e-05,0.052657215,2.327464911
"32","g2472","g2472",1.968759414,6.475689607,6.054883387,4.11608e-05,0.052657215,2.408113815
"33","g2473","g2473",2.820703332,7.649019008,5.828584826,5.95695e-05,0.052657215,2.072235313
"34","g2758","GJD2",0.527969557,6.508533057,5.296377287,0.000146153,0.077279232,1.258179012
"35","g3415","CFP",1.305925083,3.528412668,4.783202446,0.000360255,0.095389908,0.233968791
"36","g3436","FREM1",0.594995325,5.639426115,5.374427309,0.000127813,0.077279232,1.374890562
"37","g4208","g4208",-1.347151237,5.273842783,-5.202214835,0.000172007,0.077279232,1.087163795
"38","g5341","TTC34",-0.976361679,4.474324264,-4.926711023,0.00027894,0.081183124,0.616072135
"39","g5582","RAP1GAP",0.60230487,7.888482605,5.156967555,0.000186091,0.077279232,1.032553067
"40","g5661","g5661",1.93416812,4.541590545,6.034740269,4.25254e-05,0.052657215,2.179098974
"41","g6301","LONRF3",-0.622161808,5.606829209,-5.272011965,0.000152427,0.077279232,1.21164618
"42","g6455","ABCB11",0.81357475,6.097879256,5.303711031,0.000144318,0.077279232,1.268020794
"43","g6611","g6611",-2.553143653,4.313516601,-5.213303464,0.000168729,0.077279232,0.890368547
"44","g6826","SDCBP",0.645925766,8.614485491,5.120075548,0.000198464,0.077279232,0.970736963
"45","g7259","g7259",1.249415363,6.528875296,4.757883631,0.000376991,0.097529007,0.377512938
"46","g7613","g7613",-1.408792714,5.190315863,-4.950123236,0.000267606,0.081183124,0.682914362
"47","g7846","PDCD6IP",0.624670203,8.04739883,4.900377918,0.000292287,0.081664977,0.614729781
"48","g8170","g8170",-0.906671347,6.265493003,-7.091217911,8.28431e-06,0.037906484,3.846675751
"49","g8472","ZNF608",1.027407009,7.243669532,5.861766838,5.64014e-05,0.052657215,2.132267502
"50","g8585","HEBP2",-3.304256486,8.362240973,-6.909865554,1.08537e-05,0.037906484,3.584682356
"51","g8751","KMT2D",0.460357556,7.555717831,5.007069923,0.000241998,0.081183124,0.789934466
"52","g8942","SSPO",2.025025899,6.124599924,6.095721641,3.85339e-05,0.052657215,2.460271644
"53","g9341","g9341",-2.665446148,5.34823628,-4.808411548,0.000344358,0.09432709,0.426814599
"54","g9597","g9597",2.633902198,4.74411357,5.821107457,6.03089e-05,0.052657215,1.904227668
