tube.num.label,experiment,hpe,NiCl2.Nom.Conc.,Rep,Dilution,JG.tube.id,Ni.ug.L,Ni.mg.L,date.collected,tube.mass.avg,h2o.mass.g,final.mass.g,vol.Ge.uL,comments,tubeh2O.mass.g,Tube + Sample Final mass (g)
1,LC50 E1,0,0,stock,10,1,3.28,0.00,04/08/2024,0,8.006,10.081,531,10% nitric acid added 04/30/24,NA,NA
66,LC50 E2,0,0,stock,10,66,12.08,0.01,04/22/2024,0,8.113,10.174,535,10% nitric acid added 05/08/24,NA,NA
6,LC50 E3,0,0,stock,10,6,1.48,0.00,05/13/24,7.201,8.087,10.129,533,true mass of sample NA,15.288,17.33
12,LC50 E4,0,0,stock,10,12,9.80,0.01,05/20/24,7.201,8.101,10.305,542,true mass of sample NA,15.302,17.506
2,LC50 E1,0,0.1,stock,10,2,36.37,0.04,04/08/2024,0,8.05,10.129,533,10% nitric acid added 04/30/24,NA,NA
67,LC50 E2,0,0.1,stock,10,67,35.43,0.04,04/22/2024,0,8.121,10.068,530,10% nitric acid added 05/08/24,NA,NA
8,LC50 E3,0,0.1,stock,10,8,30.27,0.03,05/13/24,7.201,8.135,10.251,540,true mass of sample NA,15.336,17.452
14,LC50 E4,0,0.1,stock,10,14,29.81,0.03,05/20/24,7.201,8.178,10.369,546,true mass of sample NA,15.379,17.57
37,LC50 E1,0,1,stock,10,37,295.97,0.30,04/08/2024,0,8.026,10.071,530,10% nitric acid added 05/08/24,NA,NA
38,LC50 E2,0,1,stock,10,38,286.09,0.29,05/13/24,7.201,8.12,10.261,540,true mass of sample NA,15.321,17.462
7,LC50 E3,0,1,stock,10,7,288.57,0.29,05/13/24,7.201,8.028,10.137,534,true mass of sample NA,15.229,17.338
13,LC50 E4,0,1,stock,10,13,279.48,0.28,05/20/24,7.201,8.103,10.284,541,true mass of sample NA,15.304,17.485
3,LC50 E1,0,10,stock,10,3,"3,576.01",3.58,04/08/2024,0,8.053,10.138,534,10% nitric acid added 04/30/24,NA,NA
68,LC50 E2,0,10,stock,10,68,"3,267.09",3.27,04/22/2024,0,8.181,10.122,533,10% nitric acid added 05/08/24,NA,NA
9,LC50 E3,0,10,stock,10,9,"2,756.30",2.76,05/13/24,7.201,8.084,10.276,541,true mass of sample NA,15.285,17.477
15,LC50 E4,0,10,stock,10,15,"2,500.77",2.50,05/20/24,7.201,8.116,10.304,542,true mass of sample NA,15.317,17.505
4,LC50 E1,0,100,stock,100,4,"33,360.29",33.36,04/08/2024,0,8.072,10.158,535,10% nitric acid added 04/30/24,NA,NA
69,LC50 E2,0,100,stock,100,69,"38,690.78",38.69,04/22/2024,0,8.022,10.061,530,10% nitric acid added 05/08/24,NA,NA
10,LC50 E3,0,100,stock,100,10,"21,795.75",21.80,05/20/24,7.201,8.116,10.304,542,true mass of sample NA,15.317,17.505
16,LC50 E4,0,100,stock,100,16,"16,698.02",16.70,09/11/24,7.201,8.26,10.464,551,true mass of sample NA,15.461,17.665
5,LC50 E1,0,1000,stock,100,5,"319,559.14",319.56,04/08/2024,0,8.026,10.118,533,10% nitric acid added 04/30/24,NA,NA
70,LC50 E2,0,1000,stock,100,70,"311,464.51",311.46,04/22/2024,0,8.122,10.118,533,10% nitric acid added 05/08/24,NA,NA
11,LC50 E3,0,1000,stock,100,11,"261,158.42",261.16,05/20/24,7.201,7.944,10.117,532,true mass of sample NA,15.145,17.318
17,LC50 E4,0,1000,stock,100,17,"266,473.56",266.47,09/24/24,7.201,8.055,10.159,535,true mass of sample NA,15.256,17.36
1,DM,NA,NA,NA,10,1,2.05,0.00,5/2/25,7.201,8.055,10.2,537,true mass of sample NA,15.256,17.401
1,DM,NA,NA,NA,10,1,<0.000,0.00,5/13/25,7.201,8.087,10.145,534,true mass of sample NA,15.288,17.346
2,DM,NA,NA,NA,10,2,<0.000,0.00,5/2/25,7.201,8.209,10.36,545,true mass of sample NA,15.41,17.561
2,DM,NA,NA,NA,10,2,<0.000,0.00,5/13/25,7.201,8.154,10.215,538,true mass of sample NA,15.355,17.416
3,DM,NA,NA,NA,10,3,4.80,0.00,5/2/25,7.201,8.127,10.288,541,true mass of sample NA,15.328,17.489
3,DM,NA,NA,NA,10,3,0.77,0.00,5/13/25,7.201,7.963,9.998,526,true mass of sample NA,15.164,17.199
