"","Gene","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","g10908","g10908",1.597030984,2.729788525,4.945285422,0.000269908,0.081183124,0.102473935
"2","g11811","g11811",2.321885775,5.265203213,5.326174163,0.000138846,0.077279232,1.257883012
"3","g11813","g11813",1.741840349,6.327307559,4.905195588,0.000289796,0.081664977,0.622651435
"4","g1196","g1196",1.578080675,6.773390906,5.266477513,0.000153891,0.077279232,1.20906392
"5","g12050","g12050",0.993825408,8.84602392,5.087664407,0.000210043,0.077279232,0.917632197
"6","g12111","g12111",-2.452703119,3.933272131,-8.664451311,9.43084e-07,0.01317489,4.405184675
"7","g12775","g12775",1.868073581,5.142505674,5.079077735,0.000213227,0.077279232,0.885401032
"8","g1294","g1294",1.290090545,5.676379707,4.780669054,0.000361894,0.095389908,0.417137819
"9","g12982","g12982",1.203212461,6.360044964,5.191231422,0.00017532,0.077279232,1.08869085
"10","g13014","g13014",1.246556753,7.088614451,5.545360071,9.55705e-05,0.074173301,1.649074284
"11","g14195","g14195",1.846077259,10.05837347,5.185487472,0.000177079,0.077279232,1.063244489
"12","g14703","g14703",1.626041484,6.663598776,6.324155909,2.67599e-05,0.052657215,2.804535205
"13","g14965","g14965",-1.19890677,3.245714,-5.343820015,0.0001347,0.077279232,0.835233658
"14","g15728","g15728",2.074364912,3.776552047,4.927488655,0.000278556,0.081183124,0.467890597
"15","g15986","g15986",0.554411854,5.994428052,5.272116891,0.000152399,0.077279232,1.217448862
"16","g16191","g16191",0.560061693,9.416965366,4.981520406,0.000253156,0.081183124,0.74427468
"17","g16471","g16471",-2.636435821,6.467950481,-5.20929135,0.000169907,0.077279232,1.108080197
"18","g1703","g1703",0.836934928,6.905668602,5.662657329,7.84709e-05,0.064484646,1.831710959
"19","g1744","g1744",0.806046066,5.591478821,4.992744807,0.000248189,0.081183124,0.764820731
"20","g2472","g2472",1.968759414,6.475689607,6.054883387,4.11608e-05,0.052657215,2.408113815
"21","g2473","g2473",2.820703332,7.649019008,5.828584826,5.95695e-05,0.052657215,2.072235313
"22","g4208","g4208",-1.347151237,5.273842783,-5.202214835,0.000172007,0.077279232,1.087163795
"23","g5661","g5661",1.93416812,4.541590545,6.034740269,4.25254e-05,0.052657215,2.179098974
"24","g6611","g6611",-2.553143653,4.313516601,-5.213303464,0.000168729,0.077279232,0.890368547
"25","g7259","g7259",1.249415363,6.528875296,4.757883631,0.000376991,0.097529007,0.377512938
"26","g7613","g7613",-1.408792714,5.190315863,-4.950123236,0.000267606,0.081183124,0.682914362
"27","g8170","g8170",-0.906671347,6.265493003,-7.091217911,8.28431e-06,0.037906484,3.846675751
"28","g9341","g9341",-2.665446148,5.34823628,-4.808411548,0.000344358,0.09432709,0.426814599
"29","g9597","g9597",2.633902198,4.74411357,5.821107457,6.03089e-05,0.052657215,1.904227668
