plate,well_letter,well_number,well_content,absorbance_660
1,A,1,Hom 1 1:4 R1,0.1446
1,B,1,Hom 1 1:4 R2,0.1457
1,C,1,Hom 1 1:4 R3,0.1466
1,D,1,Hom 34 1:4 R1,0.1539
1,E,1,Hom 34 1:4 R2,0.148
1,F,1,Hom 34 1:4 R3,0.1464
1,G,1,Hom 85 1:4 R1,0.1589
1,H,1,Hom 85 1:4 R2,0.1542
1,A,2,Hom 2 1:4 R1,0.1457
1,B,2,Hom 2 1:4 R2,0.1447
1,C,2,Hom 2 1:4 R3,0.1501
1,D,2,Hom 38 1:4 R1,0.1466
1,E,2,Hom 38 1:4 R2,0.1479
1,F,2,Hom 38 1:4 R3,0.1472
1,G,2,Hom 89 1:4 R1,0.1592
1,H,2,Hom 85 1:4 R3,0.1576
1,A,3,Hom 3 1:4 R1,0.1519
1,B,3,Hom 3 1:4 R2,0.1528
1,C,3,Hom 3 1:4 R3,0.1523
1,D,3,Hom 42 1:4 R1,0.1566
1,E,3,Hom 42 1:4 R2,0.1492
1,F,3,Hom 42 1:4 R3,0.1512
1,G,3,Hom 89 1:4 R2,0.1587
1,H,3,Hom 89 1:4 R3,0.159
1,A,4,Hom 7 1:4 R1,0.15
1,B,4,Hom 7 1:4 R2,0.1539
1,C,4,Hom 7 1:4 R3,0.1522
1,D,4,Hom 64 1:4 R1,0.1514
1,E,4,Hom 64 1:4 R2,0.1494
1,F,4,Hom 64 1:4 R3,0.1512
1,G,4,Hom 91 1:4 R1,0.15
1,H,4,Hom 91 1:4 R2,0.146
1,A,5,Hom 9 1:4 R1,0.1489
1,B,5,Hom 9 1:4 R2,0.1505
1,C,5,Hom 9 1:4 R3,0.151
1,D,5,Hom 65 1:4 R1,0.1612
1,E,5,Hom 65 1:4 R2,0.156
1,F,5,Hom 65 1:4 R3,0.1539
1,G,5,Hom 93 1:4 R1,0.1606
1,H,5,Hom 91 1:4 R3,0.146
1,A,6,Hom 14 1:4 R1,0.1456
1,B,6,Hom 14 1:4 R2,0.1476
1,C,6,Hom 14 1:4 R3,0.1494
1,D,6,Hom 68 1:4 R1,0.1603
1,E,6,Hom 68 1:4 R2,0.1582
1,F,6,Hom 68 1:4 R3,0.156
1,G,6,Hom 93 1:4 R2,0.1567
1,H,6,Hom 93 1:4 R3,0.1542
1,A,7,Hom 15 1:4 R1,0.1516
1,B,7,Hom 15 1:4 R2,0.152
1,C,7,Hom 15 1:4 R3,0.1514
1,D,7,Hom 69 1:4 R1,0.154
1,E,7,Hom 69 1:4 R2,0.1543
1,F,7,Hom 69 1:4 R3,0.1556
1,G,7,Hom 95 1:4 R1,0.1641
1,H,7,Hom 95 1:4 R2,0.162
1,A,8,Hom 22 1:4 R1,0.1484
1,B,8,Hom 22 1:4 R2,0.1508
1,C,8,Hom 22 1:4 R3,0.152
1,D,8,Hom 76 1:4 R1,0.1537
1,E,8,Hom 76 1:4 R2,0.1547
1,F,8,Hom 76 1:4 R3,0.1552
1,G,8,Hom 96 1:4 R1,0.1513
1,H,8,Hom 95 1:4 R3,0.1619
1,A,9,Hom 28 1:4 R1,0.1435
1,B,9,Hom 28 1:4 R2,0.1528
1,C,9,Hom 28 1:4 R3,0.1474
1,D,9,Hom 78 1:4 R1,0.1575
1,E,9,Hom 78 1:4 R2,0.1568
1,F,9,Hom 78 1:4 R3,0.1586
1,G,9,Hom 96 1:4 R2,0.1508
1,H,9,Hom 96 1:4 R3,0.1488
1,A,10,A Stand. R1,0.2438
1,B,10,B Stand. R1,0.3098
1,C,10,C Stand. R1,0.4387
1,D,10,D Stand. R1,0.6412
1,E,10,E Stand. R1,0.7487
1,F,10,F Stand. R1,1.1852
1,G,10,G Stand. R1,1.5292
1,H,10,PBS,0.1478
1,A,11,A Stand. R2,0.2356
1,B,11,B Stand. R2,0.3255
1,C,11,C Stand. R2,0.4796
1,D,11,D Stand. R2,0.7467
1,E,11,E Stand. R2,0.7776
1,F,11,F Stand. R2,1.1397
1,G,11,G Stand. R2,1.5597
1,H,11,PBS,0.1432
1,A,12,A Stand. R3,0.246
1,B,12,B Stand. R3,0.3186
1,C,12,C Stand. R3,0.4508
1,D,12,D Stand. R3,0.7604
1,E,12,E Stand. R3,0.8099
1,F,12,F Stand. R3,1.2138
1,G,12,G Stand. R3,1.4439
1,H,12,PBS,0.1431
2,A,1,Hom 8 1:4 R1,0.1428
2,B,1,Hom 8 1:4 R3,0.1501
2,C,1,Hom 8 1:4 R2,0.1511
2,D,1,Hom 59 1:4 R1,0.1533
2,E,1,Hom 59 1:4 R2,0.1509
2,F,1,Hom 59 1:4 R3,0.152
2,G,1,Hom 55 1:4 R1,0.1521
2,H,1,Hom 55 1:4 R2,0.1518
2,A,2,Hom 13 1:4 R1,0.1502
2,B,2,Hom 13 1:4 R2,0.1547
2,C,2,Hom 13 1:4 R3,0.1564
2,D,2,Hom 60 1:4 R1,0.1532
2,E,2,Hom 60 1:4 R2,0.1545
2,F,2,Hom 60 1:4 R3,0.155
