"assay","plate","type","homogenate","dilution_factor_unknownsample_pbs","well_content","tech_rep","date_assay","sod_calc_maybeError","pre_xan_ox_abs450","post_xan_ox_abs450","known_sod_u_ml","delta_abs","blank_delta","blank_corrected_abs","a_coef_sod","b_coef_sod","sod_u_ml_calc","dilution_n","sod_u_ml_final"
"sod",1,"unknown",8,"1:3","Hom 8 1:3 R1","R1","6/26/24",0.3867947866,0.0542,0.509,NA,0.4548,0.67845,-0.22365,-0.492437142857143,-0.131272882763402,0.129051328056069,3,0.387153984168207
"sod",1,"unknown",8,"1:3","Hom 8 1:3 R2","R2","6/26/24",0.5876989905,0.051,0.451,NA,0.4,0.67845,-0.27845,-0.492437142857143,-0.131272882763402,0.195911151192515,3,0.587733453577545
"sod",1,"unknown",13,"1:3","Hom 13 1:3 R1","R1","6/26/24",0.4209975902,0.051,0.4947,NA,0.4437,0.67845,-0.23475,-0.492437142857143,-0.131272882763402,0.140438111428716,3,0.421314334286149
"sod",1,"unknown",13,"1:3","Hom 13 1:3 R2","R2","6/26/24",0.5827847746,0.0506,0.4517,NA,0.4011,0.67845,-0.27735,-0.492437142857143,-0.131272882763402,0.194276374239601,3,0.582829122718804
"sod",1,"unknown",21,"1:3","Hom 21 1:3 R1","R1","6/26/24",0.1260300335,0.0483,0.65,NA,0.6017,0.67845,-0.07675,-0.492437142857143,-0.131272882763402,0.0421471565238978,3,0.126441469571693
"sod",1,"unknown",21,"1:3","Hom 21 1:3 R2","R2","6/26/24",0.1941403417,0.0454,0.5905,NA,0.5451,0.67845,-0.13335,-0.492437142857143,-0.131272882763402,0.06486642435152,3,0.19459927305456
"sod",1,"unknown",23,"1:3","Hom 23 1:3 R1","R1","6/26/24",0.1723448375,0.0562,0.6169,NA,0.5607,0.67845,-0.11775,-0.492437142857143,-0.131272882763402,0.0575983384626846,3,0.172795015388054
"sod",1,"unknown",23,"1:3","Hom 23 1:3 R2","R2","6/26/24",0.2127641684,0.0561,0.5892,NA,0.5331,0.67845,-0.14535,-0.492437142857143,-0.131272882763402,0.0710755062020029,3,0.213226518606009
"sod",1,"unknown",27,"1:3","Hom 27 1:3 R1","R1","6/26/24",0.4731540406,0.0489,0.4773,NA,0.4284,0.67845,-0.25005,-0.492437142857143,-0.131272882763402,0.15779835948045,3,0.473395078441351
"sod",1,"unknown",27,"1:3","Hom 27 1:3 R2","R2","6/26/24",0.8601707589,0.0499,0.4,NA,0.3501,0.67845,-0.32835,-0.492437142857143,-0.131272882763402,0.286513441045985,3,0.859540323137954
"sod",1,"unknown",33,"1:3","Hom 33 1:3 R1","R1","6/26/24",0.3534768338,0.0538,0.5204,NA,0.4666,0.67845,-0.21185,-0.492437142857143,-0.131272882763402,0.117957115085265,3,0.353871345255796
"sod",1,"unknown",33,"1:3","Hom 33 1:3 R2","R2","6/26/24",0.6054584189,0.0541,0.4502,NA,0.3961,0.67845,-0.28235,-0.492437142857143,-0.131272882763402,0.201818817592545,3,0.605456452777635
"sod",1,"unknown",35,"1:3","Hom 35 1:3 R1","R1","6/26/24",0.5739548724,0.0539,0.457,NA,0.4031,0.67845,-0.27535,-0.492437142857143,-0.131272882763402,0.191338921894913,3,0.574016765684739
"sod",1,"unknown",35,"1:3","Hom 35 1:3 R2","R2","6/26/24",0.342846765,0.0512,0.5218,NA,0.4706,0.67845,-0.20785,-0.492437142857143,-0.131272882763402,0.114417066314777,3,0.343251198944331
"sod",1,"unknown",43,"1:3","Hom 43 1:3 R1","R1","6/26/24",0.6625276045,0.0603,0.4446,NA,0.3843,0.67845,-0.29415,-0.492437142857143,-0.131272882763402,0.220800469884304,3,0.662401409652912
"sod",1,"unknown",43,"1:3","Hom 43 1:3 R2","R2","6/26/24",0.7283041233,0.0494,0.4213,NA,0.3719,0.67845,-0.30655,-0.492437142857143,-0.131272882763402,0.242674045029745,3,0.728022135089234
"sod",1,"unknown",46,"1:3","Hom 46 1:3 R1","R1","6/26/24",0.5495167872,0.0789,0.4877,NA,0.4088,0.67845,-0.26965,-0.492437142857143,-0.131272882763402,0.183208585373579,3,0.549625756120736
"sod",1,"unknown",46,"1:3","Hom 46 1:3 R2","R2","6/26/24",0.4255209285,0.0509,0.4932,NA,0.4423,0.67845,-0.23615,-0.492437142857143,-0.131272882763402,0.141943871877089,3,0.425831615631268
"sod",1,"unknown",51,"1:3","Hom 51 1:3 R1","R1","6/26/24",0.9499103081,0.0596,0.3967,NA,0.3371,0.67845,-0.34135,-0.492437142857143,-0.131272882763402,0.316339436528972,3,0.949018309586914
"sod",1,"unknown",51,"1:3","Hom 51 1:3 R2","R2","6/26/24",1.144390099,0.0582,0.3709,NA,0.3127,0.67845,-0.36575,-0.492437142857143,-0.131272882763402,0.380957629136977,3,1.14287288741093
"sod",1,"unknown",55,"1:3","Hom 55 1:3 R1","R1","6/26/24",1.304956283,0.0534,0.3489,NA,0.2955,0.67845,-0.38295,-0.492437142857143,-0.131272882763402,0.434290182906418,3,1.30287054871925
"sod",1,"unknown",55,"1:3","Hom 55 1:3 R2","R2","6/26/24",1.564942262,0.053,0.3247,NA,0.2717,0.67845,-0.40675,-0.492437142857143,-0.131272882763402,0.520617006524079,3,1.56185101957224
"sod",1,"unknown",56,"1:3","Hom 56 1:3 R1","R1","6/26/24",1.387131912,0.052,0.3395,NA,0.2875,0.67845,-0.39095,-0.492437142857143,-0.131272882763402,0.461579678856044,3,1.38473903656813
"sod",1,"unknown",56,"1:3","Hom 56 1:3 R2","R2","6/26/24",1.443301069,0.0507,0.333,NA,0.2823,0.67845,-0.39615,-0.492437142857143,-0.131272882763402,0.480230805149533,3,1.4406924154486
