"plate","homogenate","mean_sod","sd_sod","n"
1,8,0.465861431269073,0.125375692220212,2
1,13,0.479034411640795,0.100704562843079,2
1,21,0.1670986138826,0.0464101393410062,2
1,23,0.198331325345723,0.0271295927074071,2
1,27,0.620852902938011,0.235762246146422,2
1,33,0.458553139496139,0.15751230722754,2
1,35,0.440053540121367,0.144965893444671,2
1,43,0.647438377239297,0.0398885197855324,2
1,46,0.466552782991393,0.0773476275277882,2
1,51,0.943690272558903,0.114198061125984,2
1,55,1.26142899080085,0.148912364329293,2
1,56,1.24579737709314,0.0322036539309142,2
1,59,0.787881177717785,0.13216422357056,2
1,60,0.332373382196667,0.0645313164798209,2
1,61,0.436931848049105,0.302638699282763,2
1,70,0.293004378472783,0.0650110890012091,2
2,1,0.167826080117621,0.00717345496988227,2
2,2,0.345108670093209,0.0693591034795454,2
2,3,0.208010055251015,0.0884919256659802,2
2,7,0.691797361112845,0.0645665851650411,2
2,9,0.215395645742316,0.12120805564815,2
2,10,1.29567829178915,0.0186802594303106,2
2,11,0.219692028654928,0.0171307364851133,2
2,12,1.03866078316219,0.156387144333972,2
2,14,0.118151542918502,0.0281594714724458,2
2,15,0.350283655506651,0.0604750908517017,2
2,22,0.57014001757326,0.0605452119390359,2
2,28,0.932627842552097,0.173788091383089,2
2,29,0.866969648852967,0.433841171020082,2
2,30,1.79557470779976,0.0365982257403519,2
2,31,1.43081576668084,0.032008312062708,2
2,32,1.79061253993756,0.0800943747644063,2
2,34,0.91749207982782,0.110574938504495,2
2,37,NA,NA,2
2,38,0.588689885171939,0.062806108401481,2
2,39,0.854575979105817,0.383918687681366,2
2,42,1.30126682963259,0.219558397838015,2
2,44,1.14042884704132,0.204705261240455,2
2,57,0.569238567364347,0.147461355432325,2
2,58,1.58889065935928,1.21867779674986,2
2,64,0.403468576657658,0.0664934865021354,2
2,65,0.68580078627838,0.0476955998047331,2
2,68,0.317348577090201,0.171489420306555,2
2,69,1.17532244655117,0.0595763493455618,2
2,76,0.252886153271166,0.0628332847153341,2
2,78,1.51872855069434,0.271866556838725,2
2,81,0.535011612353893,0.00771345462861672,2
2,85,3.003185004297,0.575751139214833,2
2,89,0.427382242143745,0.0536162798166921,2
2,91,0.104749976218525,0.00484155587824109,2
2,92,NA,NA,2
2,93,1.91868034771212,0.122969532674561,2
2,95,0.717948256348477,0.141142507614716,2
2,96,1.01899575853404,0.319832423913623,2
2,97,1.91366368141685,0.281546850473463,2
2,98,0.398186440127538,0.057603696624159,2
2,101,0.918752744180591,0.246820519276394,2
