"","date","rna_conc_ng.uL","A260.A280","treatment","replicate","experiment","stage","stage_2","hpe","animal_id","no_sys","no_prim_sys1_RNA","no_prim_sys2_Prot","health","attachment_sys2_prot","attachment_sys1_RNA"
"1","2023-11-15",7.2,0.87,"45","R1","E3","TO","late",24,"S251C001",1,13,8,5,"attached","attached"
"2","2023-10-25",13.3,1.89,"0","R1","E2","B1","mid",24,"S209C001",1,7,0,9,"attached","attached"
"3","2023-09-30",15.3,1.97,"45","R3","E1","A2","early",24,"S178C001",1,13,0,7,"attached","attached"
"4","2023-11-29",15.3,1.68,"5","R1","E4","A1","early",24,"S295C001",2,9,9,6,"tied","attached"
"5","2023-11-29",17,1.81,"5","R2","E4","A1","early",24,"S290C001",2,5,7,6,"tied","tied"
"6","2023-11-15",17.6,1.95,"45","R3","E3","A1","early",24,"S259C001",1,10,7,10,"attached","attached"
"7","2023-09-30",20.3,1.88,"0","R1","E1","C2","late",24,"S177C001",1,11,0,10,"attached","attached"
"8","2023-09-30",24.9,1.95,"5","R1","E1","TO","late",24,"S147C001",1,15,0,6,"attached","attached"
"9","2023-11-29",25.1,1.79,"0","R3","E4","C1","mid",24,"S283C001",2,17,23,8,"tied","tied"
"10","2023-09-30",33.8,1.79,"5","R3","E1","C2","late",24,"S160C001",1,8,0,7,"attached","attached"
"11","2023-10-25",34,1.86,"5","R3","E2","B2","mid",24,"S246C001",1,18,0,9,"attached","attached"
"12","2023-09-30",35.8,1.88,"5","R2","E1","B2","mid",24,"S167C001",1,7,0,8,"attached","attached"
"13","2023-11-15",38.2,1.57,"45","R2","E3","TO","late",24,"S263C001",1,10,18,5,"tied","attached"
"14","2023-11-15",39,1.67,"5","R3","E3","C1","mid",24,"S267C001",2,18,12,6,"attached","attached"
"15","2023-11-15",44,1.91,"0","R3","E3","B2","mid",24,"S266C001",1,10,6,7,"attached","attached"
"16","2023-10-25",45.8,2.02,"0","R4","E2","C2","late",24,"S212C001",1,10,0,8,"attached","attached"
"17","2023-10-25",51.5,1.89,"45","R3","E2","C1","mid",24,"S224C001",1,17,0,7,"attached","attached"
"18","2023-09-30",53.6,1.95,"5","R4","E1","C1","mid",24,"S180C001",1,7,0,5,"attached","attached"
"19","2023-10-25",57.6,1.95,"0","R2","E2","C2","late",24,"S228C001",1,6,0,9,"attached","attached"
"20","2023-11-29",59.2,1.9,"45","R2","E4","C2","late",24,"S301C001",2,11,7,6,"tied","tied"
"21","2023-11-15",64.5,1.82,"0","R2","E3","B2","mid",24,"S270C001",1,5,14,8,"attached","attached"
"22","2023-10-25",66.7,2.02,"45","R2","E2","C2","late",24,"S215C001",1,8,0,7,"attached","attached"
"23","2023-11-29",71.7,1.95,"0","R2","E4","C1","mid",24,"S286C001",2,10,17,10,"tied","attached"
"24","2023-11-15",71.8,1.81,"5","R1","E3","B2","mid",24,"S261C001",1,11,16,5,"tied","tied"
"25","2023-11-29",75.2,1.89,"5","R3","E4","C2","late",24,"S275C001",2,11,14,5,"tied","attached"
"26","2023-10-25",76.7,1.56,"45","R1","E2","B1","mid",24,"S218C001",1,8,0,6,"attached","attached"
"27","2023-09-30",78.2,1.93,"0","R4","E1","TO","late",24,"S148C001",1,12,0,7,"attached","attached"
"28","2023-10-25",79.8,1.98,"45","R4","E2","C1","mid",24,"S207C001",1,12,0,3,"attached","attached"
"29","2023-10-25",85.5,1.98,"5","R4","E2","A1","early",24,"S199C001",1,11,0,7,"attached","attached"
"30","2023-11-15",86.8,1.87,"5","R2","E3","C2","late",24,"S256C001",1,9,8,5,"tied","tied"
"31","2023-11-29",87.7,1.9,"0","R1","E4","A1","early",24,"S277C001",2,12,10,10,"attached","attached"
"32","2023-11-29",96,1.97,"45","R1","E4","C1","mid",24,"S287C001",2,16,11,6,"attached","attached"
"33","2023-10-25",101.2,1.93,"5","R1","E2","C2","late",24,"S200C001",1,8,0,7,"attached","attached"
"34","2023-09-30",102.4,1.95,"45","R2","E1","C2","late",24,"S162C001",1,13,0,6,"attached","attached"
"35","2023-11-15",102.8,2,"0","R1","E3","B2","mid",24,"S271C002",1,18,12,7,"attached","attached"
"36","2023-10-25",104.6,1.96,"0","R3","E2","C2","late",24,"S247C001",1,5,0,6,"attached","attached"
"37","2023-09-30",106.1,1.95,"45","R4","E1","B1","mid",24,"S151C001",1,12,0,7,"attached","attached"
"38","2023-09-30",136.8,1.98,"0","R2","E1","TO","late",24,"S149C001",1,14,0,9,"attached","attached"
"39","2023-09-30",190.5,1.97,"0","R3","E1","C1","mid",24,"S154C001",1,22,0,7,"attached","attached"
