"","Gene","SYMBOL","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","g11131","BVES",-1.020306538,3.754829033,-4.928200054,0.000278204,0.081183124,0.514381116
"2","g11648","COLEC11",-3.391679868,2.705717215,-7.410188516,5.20452e-06,0.036353603,1.273093998
"3","g13132","MMP21",1.39432268,6.641912581,6.163967586,3.45306e-05,0.052657215,2.576946709
"4","g13530","HSPG2",0.868118585,7.50054326,5.987919989,4.58845e-05,0.052657215,2.318342567
"5","g13546","TGFB2",0.869245976,4.463536455,4.930213528,0.000277213,0.081183124,0.623358937
"6","g14350","CDO1",-0.823797617,6.997877205,-6.425415285,2.28185e-05,0.052657215,2.954857841
"7","g14894","JAG1",0.805301723,6.017880679,5.084844534,0.000211083,0.077279232,0.916358718
"8","g15281","KCP",0.963237055,8.093631131,5.94758452,4.90024e-05,0.052657215,2.251266923
"9","g15637","FIBCD1",2.462121153,5.322886251,5.144657369,0.000190127,0.077279232,0.97948113
"10","g16639","VWF",1.067466113,7.309904252,5.072395556,0.00021574,0.077279232,0.896594189
"11","g16842","C5",1.952113559,10.85934629,5.404324941,0.000121441,0.077279232,1.392832408
"12","g19","CLEC19A",-1.153416462,6.803869646,-5.992742203,4.5526e-05,0.052657215,2.327464911
"13","g2758","GJD2",0.527969557,6.508533057,5.296377287,0.000146153,0.077279232,1.258179012
"14","g3415","CFP",1.305925083,3.528412668,4.783202446,0.000360255,0.095389908,0.233968791
"15","g3436","FREM1",0.594995325,5.639426115,5.374427309,0.000127813,0.077279232,1.374890562
"16","g5341","TTC34",-0.976361679,4.474324264,-4.926711023,0.00027894,0.081183124,0.616072135
"17","g5582","RAP1GAP",0.60230487,7.888482605,5.156967555,0.000186091,0.077279232,1.032553067
"18","g6301","LONRF3",-0.622161808,5.606829209,-5.272011965,0.000152427,0.077279232,1.21164618
"19","g6455","ABCB11",0.81357475,6.097879256,5.303711031,0.000144318,0.077279232,1.268020794
"20","g6826","SDCBP",0.645925766,8.614485491,5.120075548,0.000198464,0.077279232,0.970736963
"21","g7846","PDCD6IP",0.624670203,8.04739883,4.900377918,0.000292287,0.081664977,0.614729781
"22","g8472","ZNF608",1.027407009,7.243669532,5.861766838,5.64014e-05,0.052657215,2.132267502
"23","g8585","HEBP2",-3.304256486,8.362240973,-6.909865554,1.08537e-05,0.037906484,3.584682356
"24","g8751","KMT2D",0.460357556,7.555717831,5.007069923,0.000241998,0.081183124,0.789934466
"25","g8942","SSPO",2.025025899,6.124599924,6.095721641,3.85339e-05,0.052657215,2.460271644
